PRELIMINARY*********************************************************************
Optical depth (tau) as measured with MSL Mastcam by Mark Lemmon, MLemmon@SpaceScience.org
Cite Lemmon et al. [2019]
Generated: Tue Sep 21 16:29:08 2021
(Values of -1 indicate absence of validated data)
Lines of data in this table:         1459
PRELIMINARY*********************************************************************
                    Product_ID,      Sol,   L_s,   tau, sigma, tau_noon
1719ML0089810020701433D01_DXXX,1719.5898,  16.1, 0.725, 0.036, 0.737
1725ML0090020020701475D01_DXXX,1725.3525,  18.9, 0.712, 0.036, 0.693
1725ML0090060020701501D01_DXXX,1725.6704,  19.0, 0.697, 0.035, 0.719
1727ML0090200020701539D01_DXXX,1727.7007,  20.0, 0.749, 0.035, 0.772
1728ML0090300020701628D01_DXXX,1728.6171,  20.5, 0.664, 0.036, 0.678
1733ML0090550020701715D01_DXXX,1733.2876,  22.7, 0.668, 0.035, 0.644
1738ML0090850020701790D01_DXXX,1738.2999,  25.1, 0.647, 0.035, 0.624
1738ML0090880020701796D01_DXXX,1738.5850,  25.2, 0.639, 0.036, 0.649
1738ML0090900020701801D01_DXXX,1738.7112,  25.3, 0.737, 0.035, 0.761
1743ML0091080020701825D01_DXXX,1743.6104,  27.6, 0.607, 0.036, 0.621
1745ML0091220020701855D01_DXXX,1745.6327,  28.6, 0.643, 0.036, 0.659
1746ML0091240020701860D01_DXXX,1746.3198,  28.9, 0.635, 0.035, 0.612
1751ML0091510020701931D01_DXXX,1751.5986,  31.4, 0.615, 0.036, 0.627
1753ML0091610020701965D01_DXXX,1753.3583,  32.2, 0.618, 0.036, 0.600
1755ML0091760020701982D01_DXXX,1755.6173,  33.3, 0.603, 0.036, 0.618
1757ML0091840020701996D01_DXXX,1757.5934,  34.2, 0.588, 0.036, 0.599
1758ML0091860020702001D01_DXXX,1758.2771,  34.5, 0.622, 0.035, 0.599
1781ML0091980020702016D01_DXXX,1781.6357,  45.3, 0.587, 0.036, 0.604
1785ML0092090020702036D01_DXXX,1785.3159,  47.0, 0.588, 0.035, 0.564
1786ML0092190020702185D01_DXXX,1786.5900,  47.6, 0.570, 0.036, 0.581
1788ML0092280020702200D01_DXXX,1788.3301,  48.4, 0.553, 0.035, 0.532
1788ML0092330020702206D01_DXXX,1788.6195,  48.5, 0.561, 0.036, 0.576
1791ML0092470020702255D01_DXXX,1791.6194,  49.9, 0.535, 0.036, 0.550
1795ML0092670020702277D01_DXXX,1795.7041,  51.7, 0.540, 0.035, 0.564
1797ML0092840020702314D01_DXXX,1797.6605,  52.6, 0.507, 0.035, 0.528
1798ML0092860020702319D01_DXXX,1798.3607,  52.9, 0.535, 0.036, 0.518
1801ML0092980020702358D01_DXXX,1801.6198,  54.4, 0.484, 0.036, 0.499
1807ML0093310020702488D01_DXXX,1807.6522,  57.1, 0.461, 0.035, 0.480
1808ML0093330020702493D01_DXXX,1808.3203,  57.4, 0.442, 0.035, 0.419
1812ML0093590010702584D01_DXXX,1812.6621,  59.4, 0.458, 0.035, 0.479
1813ML0093620010702591D01_DXXX,1813.2930,  59.6, 0.458, 0.035, 0.435
1818ML0093770010702673D01_DXXX,1818.3372,  61.9, 0.430, 0.035, 0.410
1818ML0093790010702678D01_DXXX,1818.6206,  62.0, 0.416, 0.036, 0.431
1822ML0094180010702751D01_DXXX,1822.5947,  63.8, 0.430, 0.036, 0.441
1825ML0094360010702762D01_DXXX,1825.3738,  65.1, 0.447, 0.036, 0.431
1829ML0094660010702844D01_DXXX,1829.6503,  67.0, 0.452, 0.035, 0.470
1831ML0094800010702883D01_DXXX,1831.5707,  67.9, 0.412, 0.036, 0.421
1832ML0094840010702891D01_DXXX,1832.3627,  68.2, 0.448, 0.036, 0.431
1836ML0096220010702958D01_DXXX,1836.4965,  70.1, 0.395, 0.036, 0.395
1836ML0096280010702961D01_DXXX,1836.7189,  70.2, 0.459, 0.035, 0.483
1844ML0096510010703018D01_DXXX,1844.3289,  73.6, 0.424, 0.035, 0.402
1844ML0096540010703025D01_DXXX,1844.5601,  73.7, 0.395, 0.036, 0.403
1844ML0096560010703031D01_DXXX,1844.7212,  73.8, 0.468, 0.035, 0.492
1849ML0096690010703056D01_DXXX,1849.3224,  75.8, 0.377, 0.035, 0.355
1849ML0096710010703062D01_DXXX,1849.5059,  75.9, 0.312, 0.036, 0.313
1850ML0096780010703090D01_DXXX,1850.5112,  76.4, 0.350, 0.036, 0.351
1866ML0097500010703164D01_DXXX,1866.4910,  83.5, 0.356, 0.036, 0.355
1866ML0097560010703201D01_DXXX,1866.6736,  83.6, 0.405, 0.035, 0.427
1867ML0097600010703207D01_DXXX,1867.3588,  83.9, 0.409, 0.036, 0.391
1868ML0097640010703216D01_DXXX,1868.5646,  84.5, 0.343, 0.036, 0.351
1871ML0097810010703309D01_DXXX,1871.5178,  85.8, 0.336, 0.036, 0.339
1873ML0097980010703398D01_DXXX,1873.4819,  86.7, 0.401, 0.036, 0.399
1874ML0098030010703416D01_DXXX,1874.3988,  87.1, 0.420, 0.036, 0.407
1876ML0098200010703447D01_DXXX,1876.5530,  88.1, 0.343, 0.036, 0.350
1878ML0098270010703469D01_DXXX,1878.6501,  89.0, 0.429, 0.036, 0.448
1880ML0098480010703564D01_DXXX,1880.7186,  90.0, 0.484, 0.035, 0.508
1880ML0098480030703565D01_DXXX,1880.7202,  90.0, 0.487, 0.035, 0.510
1880ML0098480050703566D01_DXXX,1880.7219,  90.0, 0.493, 0.035, 0.516
1880ML0098480070703567D01_DXXX,1880.7235,  90.0, 0.494, 0.035, 0.518
1880ML0098480090703568D01_DXXX,1880.7252,  90.0, 0.485, 0.035, 0.508
1880ML0098480110703569D01_DXXX,1880.7269,  90.0, 0.486, 0.035, 0.510
1880ML0098480130703570D01_DXXX,1880.7285,  90.0, 0.483, 0.035, 0.506
1886ML0098670010703592D01_DXXX,1886.2764,  92.5, 0.471, 0.035, 0.447
1886ML0098710010703595D01_DXXX,1886.6342,  92.6, 0.404, 0.036, 0.421
1888ML0098810010703629D01_DXXX,1888.5492,  93.5, 0.390, 0.036, 0.397
1891ML0098940010703675D01_DXXX,1891.6626,  94.9, 0.404, 0.035, 0.424
1893ML0099120010703698D01_DXXX,1893.5337,  95.8, 0.382, 0.036, 0.387
1894ML0099140010703704D01_DXXX,1894.2894,  96.1, 0.467, 0.035, 0.443
1894ML0099190010703719D01_DXXX,1894.6544,  96.3, 0.422, 0.035, 0.442
1898ML0099270010703737D01_DXXX,1898.5662,  98.1, 0.382, 0.036, 0.390
1903ML0099520010703941D01_DXXX,1903.3761, 100.3, 0.533, 0.036, 0.518
1903ML0099600010703944D01_DXXX,1903.5499, 100.4, 0.442, 0.036, 0.448
1903ML0099650010703958D01_DXXX,1903.6793, 100.5, 0.487, 0.035, 0.510
1904ML0099830010703964D01_DXXX,1904.4973, 100.8, 0.442, 0.036, 0.442
1907ML0100070010704010D01_DXXX,1907.5948, 102.3, 0.470, 0.036, 0.482
1908ML0100090010704016D01_DXXX,1908.3740, 102.6, 0.505, 0.036, 0.489
1911ML0100190010704067D01_DXXX,1911.5084, 104.1, 0.396, 0.036, 0.397
1914ML0099670010704262D01_DXXX,1914.3368, 105.4, 0.481, 0.035, 0.461
1914ML0099700010704269D01_DXXX,1914.6365, 105.5, 0.392, 0.036, 0.409
1916ML0099720010704307D01_DXXX,1916.2960, 106.3, 0.430, 0.035, 0.407
1918ML0099740010704313D01_DXXX,1918.3450, 107.2, 0.456, 0.035, 0.437
1918ML0099760010704319D01_DXXX,1918.5117, 107.3, 0.426, 0.036, 0.427
1918ML0099780010704325D01_DXXX,1918.6458, 107.4, 0.384, 0.035, 0.402
1920ML0099810010704396D01_DXXX,1920.3406, 108.2, 0.383, 0.035, 0.363
1921ML0100270010704402D01_DXXX,1921.5552, 108.7, 0.363, 0.036, 0.370
1923ML0100370010704459D01_DXXX,1923.5050, 109.6, 0.373, 0.036, 0.374
1924ML0100410010704472D01_DXXX,1924.2793, 110.0, 0.434, 0.035, 0.410
1925ML0100460010704509D01_DXXX,1925.5209, 110.6, 0.335, 0.036, 0.338
1929ML0100650010704528D01_DXXX,1929.3629, 112.4, 0.422, 0.036, 0.405
1930ML0100700010704560D01_DXXX,1930.4119, 112.9, 0.413, 0.036, 0.402
1930ML0100720010704567D01_DXXX,1930.5298, 113.0, 0.332, 0.036, 0.336
1930ML0100780010704600D01_DXXX,1930.6807, 113.0, 0.413, 0.035, 0.436
1933ML0100960010704761D01_DXXX,1933.5269, 114.4, 0.349, 0.036, 0.352
1936ML0101090010704874D01_DXXX,1936.5664, 115.8, 0.328, 0.036, 0.336
1937ML0101110010704880D01_DXXX,1937.3914, 116.2, 0.367, 0.036, 0.353
1937ML0101170010704883D01_DXXX,1937.5953, 116.3, 0.335, 0.036, 0.347
1938ML0101300010704889D01_DXXX,1938.5631, 116.8, 0.332, 0.036, 0.340
1939ML0101370010704928D01_DXXX,1939.6326, 117.3, 0.350, 0.036, 0.367
1940ML0101470010704995D01_DXXX,1940.5682, 117.7, 0.309, 0.036, 0.318
1943ML0101520010705012D01_DXXX,1943.3960, 119.1, 0.366, 0.036, 0.353
1943ML0101560010705015D01_DXXX,1943.6066, 119.2, 0.290, 0.036, 0.304
1946ML0101710010705124D01_DXXX,1946.5449, 120.6, 0.316, 0.036, 0.322
1949ML0101840010705162D01_DXXX,1949.4825, 122.0, 0.299, 0.036, 0.297
1949ML0101910010705182D01_DXXX,1949.6438, 122.1, 0.294, 0.035, 0.312
1950ML0101930010705188D01_DXXX,1950.3765, 122.4, 0.368, 0.036, 0.352
1953ML0102180010605239D01_DXXX,1953.5000, 124.0, 0.229, 0.036, 0.229
1957ML0102300010605266D01_DXXX,1957.3168, 125.8, 0.374, 0.035, 0.351
1958ML0102420010605323D01_DXXX,1958.5212, 126.4, 0.248, 0.036, 0.251
1960ML0102490010605347D01_DXXX,1960.3516, 127.3, 0.339, 0.036, 0.320
1960ML0102510010605350D01_DXXX,1960.6062, 127.4, 0.290, 0.036, 0.304
1965ML0102780010605581D01_DXXX,1965.5945, 129.9, 0.269, 0.036, 0.280
1971ML0103090010605635D01_DXXX,1971.2887, 132.7, 0.315, 0.035, 0.291
1971ML0103120010605641D01_DXXX,1971.5486, 132.8, 0.245, 0.036, 0.251
1974ML0103180010605797D01_DXXX,1974.6102, 134.4, 0.272, 0.036, 0.286
1976ML0103260010605802D01_DXXX,1976.3197, 135.2, 0.293, 0.035, 0.271
1976ML0103330010605807D01_DXXX,1976.5464, 135.3, 0.281, 0.036, 0.287
1976ML0103350010605813D01_DXXX,1976.7057, 135.4, 0.339, 0.035, 0.362
1978ML0103400010605821D01_DXXX,1978.4722, 136.3, 0.279, 0.036, 0.275
1981ML0103720010605875D01_DXXX,1981.2925, 137.7, 0.327, 0.035, 0.304
1981ML0103770010605878D01_DXXX,1981.5990, 137.9, 0.273, 0.036, 0.285
1985ML0104030010605917D01_DXXX,1985.5549, 139.9, 0.288, 0.036, 0.295
1990ML0104300010506067D01_DXXX,1990.2977, 142.3, 0.361, 0.035, 0.337
1990ML0104320010506070D01_DXXX,1990.6107, 142.5, 0.472, 0.036, 0.486
1994ML0104470010506095D01_DXXX,1994.5618, 144.5, 0.428, 0.036, 0.436
1997ML0104670010306303D01_DXXX,1997.3279, 145.9, 0.366, 0.035, 0.345
1997ML0104690010306309D01_DXXX,1997.5458, 146.0, 0.386, 0.036, 0.392
1999ML0104800010306387D01_DXXX,1999.5111, 147.1, 0.430, 0.037, 0.431
2003ML0105110010306473D01_DXXX,2003.3414, 149.1, 0.488, 0.036, 0.468
2003ML0105130010306479D01_DXXX,2003.4668, 149.1, 0.558, 0.037, 0.554
2005ML0105250010306537D01_DXXX,2005.5090, 150.2, 0.493, 0.037, 0.494
2010ML0105880010306834D01_DXXX,2010.3174, 152.8, 0.476, 0.035, 0.453
2010ML0105910010306838D01_DXXX,2010.6682, 153.0, 0.541, 0.036, 0.562
2012ML0106030010800013D01_DXXX,2012.6689, 154.0, 0.578, 0.035, 0.599
2012ML0106050010800016D01_DXXX,2012.7253, 154.0, 0.572, 0.035, 0.596
2012ML0106050030800017D01_DXXX,2012.7272, 154.0, 0.576, 0.035, 0.600
2012ML0106050050800018D01_DXXX,2012.7289, 154.0, 0.557, 0.035, 0.581
2012ML0106050070800019D01_DXXX,2012.7307, 154.0, 0.541, 0.035, 0.564
2012ML0106050090800020D01_DXXX,2012.7324, 154.0, 0.539, 0.035, 0.563
2012ML0106050110800021D01_DXXX,2012.7343, 154.0, 0.543, 0.035, 0.566
2012ML0106050130800022D01_DXXX,2012.7360, 154.0, 0.544, 0.035, 0.567
2013ML0106060010800025D01_DXXX,2013.4728, 154.4, 0.500, 0.036, 0.497
2017ML0106380010800165D01_DXXX,2017.2933, 156.5, 0.557, 0.035, 0.534
2017ML0106420010800178D01_DXXX,2017.6746, 156.7, 0.590, 0.035, 0.612
2021ML0106600010800196D01_DXXX,2021.3904, 158.7, 0.563, 0.036, 0.550
2021ML0106620010800199D01_DXXX,2021.5254, 158.8, 0.578, 0.037, 0.582
2024ML0106850010800241D01_DXXX,2024.6042, 160.4, 0.679, 0.036, 0.692
2028ML0107060010800293D01_DXXX,2028.5928, 162.6, 0.605, 0.036, 0.617
2030ML0107220010800354D01_DXXX,2030.6560, 163.8, 0.771, 0.036, 0.791
2031ML0107250010800425D01_DXXX,2031.3341, 164.1, 0.761, 0.035, 0.740
2035ML0107450010800489D01_DXXX,2035.6483, 166.5, 0.622, 0.036, 0.641
2036ML0107560010800564D01_DXXX,2036.5835, 167.0, 0.681, 0.037, 0.691
2037ML0107590010800575D01_DXXX,2037.3386, 167.5, 0.636, 0.035, 0.616
2038ML0107640010800596D01_DXXX,2038.5985, 168.2, 0.503, 0.037, 0.515
2040ML0107790010800675D01_DXXX,2040.6534, 169.3, 0.508, 0.036, 0.527
2043ML0108130010800740D01_DXXX,2043.6864, 171.0, 0.543, 0.035, 0.566
2044ML0108150010800746D01_DXXX,2044.3229, 171.4, 0.673, 0.035, 0.651
2051ML0108690010800843D01_DXXX,2051.6147, 175.5, 0.631, 0.037, 0.646
2054ML0108850010800869D01_DXXX,2054.6389, 177.2, 0.752, 0.036, 0.769
2055ML0108810010800880D01_DXXX,2055.3789, 177.7, 0.810, 0.036, 0.795
2055ML0108820010800882D01_DXXX,2055.7192, 177.8, 0.729, 0.035, 0.752
2056ML0108830010800884D01_DXXX,2056.3057, 178.2, 0.733, 0.035, 0.709
2056ML0109060010800911D01_DXXX,2056.5967, 178.4, 0.716, 0.037, 0.729
2057ML0109080010800914D01_DXXX,2057.3027, 178.8, 0.714, 0.035, 0.690
2060ML0109230010800940D01_DXXX,2060.7290, 180.8, 0.657, 0.036, 0.680
2060ML0109230030800941D01_DXXX,2060.7310, 180.8, 0.651, 0.035, 0.675
2060ML0109230050800942D01_DXXX,2060.7327, 180.8, 0.652, 0.035, 0.676
2060ML0109230070800943D01_DXXX,2060.7344, 180.8, 0.660, 0.035, 0.684
2060ML0109230090800944D01_DXXX,2060.7361, 180.8, 0.654, 0.035, 0.678
2060ML0109230110800945D01_DXXX,2060.7378, 180.8, 0.647, 0.035, 0.671
2060ML0109230130800946D01_DXXX,2060.7397, 180.8, 0.643, 0.035, 0.666
2062ML0109350010800970D01_DXXX,2062.6487, 181.9, 0.643, 0.036, 0.662
2065ML0109560010800979D01_DXXX,2065.3213, 183.4, 0.712, 0.035, 0.690
2065ML0109670010800985D01_DXXX,2065.6780, 183.6, 0.644, 0.035, 0.667
2069ML0109810010801058D01_DXXX,2069.2915, 185.8, 0.697, 0.035, 0.674
2070ML0109890010801069D01_DXXX,2070.6414, 186.5, 0.711, 0.036, 0.729
2072ML0109930010801079D01_DXXX,2072.6172, 187.7, 0.635, 0.037, 0.650
2073ML0109990010801207D01_DXXX,2073.6050, 188.3, 0.575, 0.037, 0.588
2074ML0110010010801209D01_DXXX,2074.6489, 188.9, 0.651, 0.036, 0.669
2075ML0110240010801214D01_DXXX,2075.6553, 189.5, 0.778, 0.036, 0.797
2076ML0110260010801220D01_DXXX,2076.6606, 190.1, 1.059, 0.036, 1.079
2077ML0110280010801226D01_DXXX,2077.3457, 190.5, 1.775, 0.037, 1.755
2077ML0110340010801232D01_DXXX,2077.6587, 190.7, 1.330, 0.036, 1.350
2079ML0110370010801338D01_DXXX,2079.6323, 191.9, 1.386, 0.036, 1.403
2080ML0110480010801347D01_DXXX,2080.6919, 192.5, 1.562, 0.035, 1.586
2081ML0110680010801461D01_DXX7,2081.5847, 193.1, 2.145, 0.037, 2.155
2082ML0110700010801467D01_DXX7,2082.5918, 193.7, 3.318, 0.038, 3.330
2083ML0110890010801470D01_DXX7,2083.5918, 194.3, 3.904, 0.036, 3.916
2084ML0110940010801476C00_DXX7,2084.3904, 194.8, 7.223, 0.281, 7.209
2084ML0111070010801496C00_DXX7,2084.6467, 194.9, 7.051, 0.250, 7.070
2085ML0111090010801502C00_DXX7,2085.5842, 195.5, 8.460, 0.566, 8.471
2086ML0111130010801510C00_DXX7,2086.6387, 196.1, 7.575, 0.099, 7.592
2086ML0111130020801511D01_DXX5,2086.6389, 196.1, 7.599, 0.037, 7.617
2087ML0111180010801591D01_DXX7,2087.4338, 196.6, 7.416, 0.038, 7.408
2087ML0111210010801602C00_DXX7,2087.6292, 196.7, 6.889, 0.053, 6.905
2087ML0111210020801603D01_DXX5,2087.6294, 196.7, 6.889, 0.036, 6.905
2087ML0111230010801606D01_DXX5,2087.6680, 196.7, 7.002, 0.037, 7.023
2088ML0111250010801612D01_DXX7,2088.4529, 197.2, 7.259, 0.040, 7.253
2089ML0111310010801629D01_DXX7,2089.5737, 197.9, 6.771, 0.037, 6.780
2089ML0111320010801634C00_DXX7,2089.6389, 197.9, 7.071, 0.081, 7.088
2089ML0111320020801635D01_DXX5,2089.6392, 197.9, 7.062, 0.036, 7.079
2090ML0111390010801652D01_DXX7,2090.5518, 198.5, 6.854, 0.037, 6.860
2091ML0111520010801662C00_DXX7,2091.3374, 199.0, 6.621, 0.071, 6.601
2091ML0111520020801663D01_DXX5,2091.3379, 199.0, 6.658, 0.036, 6.638
2092ML0111600010801689D01_DXX5,2092.6711, 199.8, 5.978, 0.035, 5.999
2093ML0111670010801783D01_DXX7,2093.5962, 200.3, 6.336, 0.037, 6.348
2093ML0111690020801790D01_DXX5,2093.6726, 200.4, 6.483, 0.036, 6.505
2094ML0111720010801803D01_DXX7,2094.5969, 201.0, 6.474, 0.037, 6.486
2095ML0111770010801810D01_DXX7,2095.5557, 201.5, 6.298, 0.037, 6.305
2096ML0111810010801823D01_DXX7,2096.6233, 202.2, 5.963, 0.037, 5.979
2097ML0111900050801921D01_DXX5,2097.6851, 202.9, 6.159, 0.035, 6.183
2097ML0111900060801922D02_DXX5,2097.6853, 202.9, 6.177, 0.035, 6.200
2098ML0111940010801940D01_DXX5,2098.6650, 203.5, 6.404, 0.036, 6.425
2099ML0111970010801947D01_DXX5,2099.3203, 203.9, 6.792, 0.036, 6.770
2100ML0112110050801968D01_DXX5,2100.6680, 204.7, 5.981, 0.036, 6.003
2101ML0112150010801998D01_DXX5,2101.6316, 205.3, 5.639, 0.036, 5.655
2102ML0112170010802004D01_DXX7,2102.4417, 205.8, 5.744, 0.038, 5.737
2103ML0112260010802023D01_DXX5,2103.6646, 206.5, 5.419, 0.036, 5.440
2107ML0112380010802168D01_DXX5,2107.3357, 208.8, 6.348, 0.036, 6.328
2107ML0112460010802181D01_DXX7,2107.6436, 209.0, 5.334, 0.037, 5.352
2108ML0112490010802186D01_DXX7,2108.5703, 209.6, 5.386, 0.039, 5.395
2108ML0112520010802198D01_DXX5,2108.7029, 209.7, 5.286, 0.039, 5.309
2109ML0112650010802207C00_DXX7,2109.6543, 210.3, 5.219, 0.039, 5.239
2109ML0112650020802208D01_DXX5,2109.6545, 210.3, 5.227, 0.036, 5.247
2110ML0112730010802233D01_DXX5,2110.6929, 210.9, 5.398, 0.035, 5.422
2111ML0112750010802239C00_DXX7,2111.3357, 211.3, 6.013, 0.075, 5.992
2111ML0112750020802240D01_DXX5,2111.3362, 211.3, 5.997, 0.042, 5.976
2111ML0112820010802247D01_DXX7,2111.6243, 211.5, 5.115, 0.036, 5.131
2112ML0112850010802287D01_DXX5,2112.6853, 212.2, 4.765, 0.035, 4.788
2113ML0112960010802309D01_DXX7,2113.6099, 212.8, 4.759, 0.036, 4.773
2114ML0113140010802329D01_DXX7,2114.6563, 213.4, 4.827, 0.037, 4.846
2115ML0113230010802362D01_DXX7,2115.6460, 214.0, 4.833, 0.036, 4.851
2116ML0113270010802369D01_DXX5,2116.3057, 214.5, 5.604, 0.037, 5.580
2116ML0113290010802375D01_DXX7,2116.4058, 214.5, 5.083, 0.037, 5.071
2116ML0113340010802391C00_DXX7,2116.6272, 214.7, 4.685, 0.036, 4.701
2117ML0113370010802398D01_DXX5,2117.2979, 215.1, 5.245, 0.035, 5.221
2117ML0113430010802405C00_DXX7,2117.5532, 215.3, 4.365, 0.036, 4.371
2118ML0113450010802411C00_DXX7,2118.3103, 215.7, 5.101, 0.064, 5.078
2118ML0113450020802412D01_DXX5,2118.3108, 215.7, 5.081, 0.036, 5.057
2119ML0113480010802422C00_DXX7,2119.6077, 216.5, 4.124, 0.036, 4.137
2123ML0113750010802516C00_DXX7,2123.6482, 219.1, 3.821, 0.036, 3.840
2124ML0113790010802533C00_DXX7,2124.6296, 219.7, 3.915, 0.036, 3.931
2125ML0113810010802539C00_DXX7,2125.3889, 220.2, 4.169, 0.037, 4.155
2125ML0113950010802553C00_DXX7,2125.6912, 220.4, 3.851, 0.043, 3.874
2125ML0113950020802554D01_DXX5,2125.6917, 220.4, 3.842, 0.036, 3.865
2129ML0114080010802574C00_DXX7,2129.4968, 222.8, 3.446, 0.037, 3.446
2129ML0114110010802586C00_DXX7,2129.6636, 222.9, 3.421, 0.035, 3.442
2133ML0114370010802637D01_DXX5,2133.2979, 225.3, 3.327, 0.036, 3.304
2133ML0114390010802643C00_DXX7,2133.6799, 225.5, 2.953, 0.035, 2.975
2137ML0114640010802855C00_DXX7,2137.6472, 228.1, 2.847, 0.036, 2.866
2139ML0114780010802943C00_DXX7,2139.6741, 229.4, 2.493, 0.035, 2.515
2140ML0114820010802949D01_DXX5,2140.2898, 229.8, 2.553, 0.035, 2.530
2143ML0115040010802957C00_DXX7,2143.6428, 231.9, 2.271, 0.036, 2.289
2144ML0115070010802997D01_DXX5,2144.2864, 232.3, 2.687, 0.037, 2.663
2144ML0115140010803003C00_DXX7,2144.5325, 232.5, 2.333, 0.037, 2.337
2146ML0115220010803009C00_DXX7,2146.2927, 233.6, 2.507, 0.036, 2.484
2146ML0115260010803019C00_DXX7,2146.6641, 233.9, 2.210, 0.036, 2.231
2148ML0115420010803051C00_DXX7,2148.6096, 235.2, 2.110, 0.036, 2.124
2149ML0115440010803057C00_DXX7,2149.4412, 235.7, 1.932, 0.037, 1.924
2149ML0115490010803063C00_DXX7,2149.6709, 235.8, 1.947, 0.035, 1.969
2151ML0114660010803069C00_DXX7,2151.7212, 237.2, 1.914, 0.035, 1.938
2153ML0115850010803072C00_DXX7,2153.3328, 238.2, 2.099, 0.036, 2.078
2153ML0115950010803142C00_DXX7,2153.5845, 238.4, 1.904, 0.036, 1.914
2154ML0114670010803150C00_DXX7,2154.7144, 239.1, 1.832, 0.035, 1.855
2156ML0116190010803196C00_DXX7,2156.6475, 240.4, 1.822, 0.036, 1.840
2162ML0116430010803510C00_DXX7,2162.6492, 244.3, 1.505, 0.036, 1.523
2163ML0116450010803580C00_DXX7,2163.2869, 244.7, 1.791, 0.035, 1.767
2165ML0116640010803740C00_DXX7,2165.6636, 246.2, 1.395, 0.035, 1.415
2167ML0116690030803878C00_DXX7,2167.3225, 247.3, 1.643, 0.036, 1.621
2167ML0116710010803881C00_DXX7,2167.5867, 247.5, 1.492, 0.037, 1.503
2170ML0116900010803926C00_DXX7,2170.7139, 249.5, 1.482, 0.035, 1.505
2171ML0117000010803961C00_DXXX,2171.6506, 250.1, 1.372, 0.036, 1.391
2173ML0095220000803975C00_DXXX,2173.2944, 251.2, 1.551, 0.035, 1.527
2174ML0095220000803990I01_DXXX,2174.7144, 252.1, 1.253, 0.035, 1.276
2211ML0117260010803992C00_DXXX,2211.4512, 276.0, 0.852, 0.036, 0.846
2212ML0117330010804040C00_DXXX,2212.5854, 276.7, 0.874, 0.036, 0.884
2213ML0117350010804046C00_DXXX,2213.4778, 277.3, 0.904, 0.036, 0.901
2213ML0117360010804051C00_DXXX,2213.6594, 277.4, 0.939, 0.036, 0.959
2214ML0117380010804121C00_DXXX,2214.3159, 277.8, 1.078, 0.035, 1.055
2215ML0117420010804138C00_DXXX,2215.5708, 278.6, 0.907, 0.037, 0.916
2217ML0117500010804164C00_DXXX,2217.5610, 279.9, 0.925, 0.037, 0.932
2219ML0117590010804179C00_DXXX,2219.5295, 281.2, 0.842, 0.036, 0.846
2222ML0117700010804191C00_DXXX,2222.3484, 283.0, 0.949, 0.036, 0.930
2225ML0117930010804242C00_DXXX,2225.4910, 284.9, 0.823, 0.036, 0.822
2227ML0118100010804259C00_DXXX,2227.6902, 286.3, 0.857, 0.035, 0.880
2228ML0118130010804330C00_DXXX,2228.2954, 286.7, 0.969, 0.035, 0.945
2228ML0118140010804335C00_DXXX,2228.4739, 286.8, 0.828, 0.037, 0.825
2230ML0118300010804362C00_DXXX,2230.5300, 288.1, 0.746, 0.037, 0.750
2230ML0118310010804364C00_DXXX,2230.7341, 288.3, 0.848, 0.035, 0.871
2230ML0118310030804365C00_DXXX,2230.7358, 288.3, 0.845, 0.035, 0.868
2230ML0118310050804366C00_DXXX,2230.7375, 288.3, 0.842, 0.035, 0.866
2230ML0118310070804367C00_DXXX,2230.7395, 288.3, 0.836, 0.035, 0.859
2230ML0118310090804368C00_DXXX,2230.7412, 288.3, 0.828, 0.035, 0.852
2230ML0118310110804369C00_DXXX,2230.7429, 288.3, 0.826, 0.035, 0.849
2230ML0118310130804370C00_DXXX,2230.7446, 288.3, 0.832, 0.035, 0.856
2231ML0118350010804374C00_DXXX,2231.4814, 288.7, 0.703, 0.037, 0.700
2233ML0118590010804404C00_DXXX,2233.7458, 290.2, 0.754, 0.035, 0.777
2234ML0118630010804414C00_DXXX,2234.2832, 290.5, 0.845, 0.035, 0.822
2234ML0118630030804415C00_DXXX,2234.2849, 290.5, 0.849, 0.035, 0.826
2234ML0118630050804416C00_DXXX,2234.2866, 290.5, 0.853, 0.035, 0.829
2234ML0118630070804417C00_DXXX,2234.2883, 290.5, 0.848, 0.035, 0.824
2234ML0118630090804418C00_DXXX,2234.2900, 290.5, 0.850, 0.035, 0.826
2234ML0118630110804419C00_DXXX,2234.2917, 290.5, 0.855, 0.035, 0.832
2234ML0118630130804420C00_DXXX,2234.2932, 290.5, 0.858, 0.035, 0.835
2234ML0118710010804422C00_DXXX,2234.6489, 290.7, 0.725, 0.036, 0.743
2239ML0119150010804450C00_DXXX,2239.3130, 293.6, 0.915, 0.035, 0.892
2239ML0119230010804456C00_DXXX,2239.6057, 293.8, 0.785, 0.036, 0.798
2240ML0119320010804495C00_DXXX,2240.4668, 294.3, 0.729, 0.037, 0.725
2242ML0119740010804501C00_DXXX,2242.4199, 295.6, 0.788, 0.036, 0.778
2243ML0119860010804513C00_DXXX,2243.5410, 296.3, 0.718, 0.036, 0.723
2246ML0120220030804559I01_DXXX,2246.5483, 298.1, 0.648, 0.039, 0.654
2248ML0120310010804576C00_DXXX,2248.2954, 299.2, 0.802, 0.035, 0.779
2248ML0120330010804582C00_DXXX,2248.6187, 299.4, 0.756, 0.036, 0.771
2253ML0120500010804657C00_DXXX,2253.4058, 302.3, 0.792, 0.036, 0.780
2253ML0120520010804660C00_DXXX,2253.6665, 302.5, 0.780, 0.036, 0.801
